step,sim_time_s,x_actual,y_actual,phi_k,nav_state,current_wp_index,d_est,obstacle_detected,left_speed,right_speed
0,0.0000,-0.87000,-0.87000,1.57080,0,0,0.01704,0,2.9884,-2.9884
1,0.0320,-0.87000,-0.86994,1.49900,0,0,0.01740,0,2.7178,-2.7178
2,0.0640,-0.87000,-0.86994,1.42968,0,0,0.01722,0,2.4540,-2.4540
3,0.0960,-0.87000,-0.86994,1.36531,0,0,0.01656,0,2.2091,-2.2091
4,0.1280,-0.87000,-0.86994,1.31084,0,0,0.01642,0,2.0019,-2.0019
5,0.1600,-0.87000,-0.86994,1.26133,0,0,0.01706,0,1.8135,-1.8135
6,0.1920,-0.87000,-0.86994,1.21676,0,0,0.01652,0,1.6439,-1.6439
7,0.2240,-0.87000,-0.86994,1.17220,0,0,0.01714,0,1.4744,-1.4744
8,0.2560,-0.87000,-0.86994,1.13754,0,0,0.01760,0,1.3425,-1.3425
9,0.2880,-0.87000,-0.86994,1.10288,0,0,0.01679,0,1.2106,-1.2106
10,0.3200,-0.87000,-0.86994,1.07317,0,0,0.01704,0,1.0976,-1.0976
11,0.3520,-0.87000,-0.86994,1.04346,0,0,0.01737,0,0.9845,-0.9845
12,0.3840,-0.87000,-0.86994,1.01870,0,0,0.01731,0,0.8903,-0.8903
13,0.4160,-0.87000,-0.86994,0.99890,0,0,0.01709,0,0.8150,-0.8150
14,0.4480,-0.87000,-0.86994,0.97909,0,0,0.01772,0,0.7396,-0.7396
15,0.4800,-0.87000,-0.86994,0.95928,0,0,0.01788,0,0.6642,-0.6642
16,0.5120,-0.87000,-0.86994,0.93948,0,0,0.01773,0,0.5889,-0.5889
17,0.5440,-0.87000,-0.86994,0.92462,0,0,0.01748,0,3.2817,2.5719
18,0.5760,-0.86883,-0.86840,0.91967,0,0,0.01737,0,3.2801,2.5736
19,0.6080,-0.86765,-0.86687,0.90977,0,0,0.01740,0,3.2659,2.5877
20,0.6400,-0.86646,-0.86535,0.89987,0,0,0.01783,0,3.2517,2.6020
21,0.6720,-0.86529,-0.86389,0.89244,0,0,0.01717,0,3.2433,2.6104
22,0.7040,-0.86407,-0.86239,0.88254,0,0,0.01708,0,3.2290,2.6246
23,0.7360,-0.86284,-0.86090,0.87758,0,0,0.01672,0,3.2274,2.6263
24,0.7680,-0.86160,-0.85943,0.86768,0,0,0.01679,0,3.2133,2.6404
25,0.8000,-0.86035,-0.85796,0.86273,0,0,0.01688,0,3.2119,2.6417
26,0.8320,-0.85913,-0.85654,0.85530,0,0,0.01748,0,3.2041,2.6495
