waypoint_index,grid_row,grid_col,x_planned,y_planned
0,58,29,-0.00270,-1.43600
1,57,30,0.02500,-1.37500
2,57,31,0.07500,-1.37500
3,56,31,0.07500,-1.32500
4,55,31,0.07500,-1.27500
5,54,31,0.07500,-1.22500
6,53,31,0.07500,-1.17500
7,52,31,0.07500,-1.12500
8,51,31,0.07500,-1.07500
9,50,31,0.07500,-1.02500
10,49,31,0.07500,-0.97500
11,48,31,0.07500,-0.92500
12,47,31,0.07500,-0.87500
13,46,31,0.07500,-0.82500
14,45,31,0.07500,-0.77500
15,44,31,0.07500,-0.72500
16,43,31,0.07500,-0.67500
17,42,31,0.07500,-0.62500
18,41,31,0.07500,-0.57500
19,40,31,0.07500,-0.52500
20,39,31,0.07500,-0.47500
21,38,31,0.07500,-0.42500
22,37,31,0.07500,-0.37500
23,36,31,0.07500,-0.32500
24,35,31,0.07500,-0.27500
25,34,31,0.07500,-0.22500
26,33,31,0.07500,-0.17500
27,32,32,0.12500,-0.12500
28,32,33,0.17500,-0.12500
29,32,34,0.22500,-0.12500
30,31,34,0.22500,-0.07500
31,30,34,0.22500,-0.02500
32,29,34,0.22500,0.02500
33,28,34,0.22500,0.07500
34,27,34,0.22500,0.12500
35,26,34,0.22500,0.17500
36,25,34,0.22500,0.22500
37,24,34,0.22500,0.27500
38,23,34,0.22500,0.32500
39,22,34,0.22500,0.37500
40,21,34,0.22500,0.42500
41,21,35,0.27500,0.42500
42,21,36,0.32500,0.42500
43,21,37,0.37500,0.42500
44,21,38,0.42500,0.42500
45,21,39,0.47500,0.42500
46,21,40,0.52500,0.42500
47,21,41,0.57500,0.42500
48,21,42,0.62500,0.42500
49,21,43,0.67500,0.42500
50,20,44,0.72500,0.47500
51,19,45,0.77500,0.52500
52,18,46,0.82500,0.57500
53,17,47,0.87500,0.62500
54,16,48,0.92500,0.67500
55,15,48,0.92500,0.72500
56,14,48,0.92500,0.77500
57,13,48,0.92500,0.82500
58,12,47,0.87500,0.87500
59,11,47,0.87500,0.92500
60,10,47,0.87500,0.97500
61,9,47,0.87500,1.02500
62,8,46,0.82500,1.07500
63,7,46,0.82500,1.12500
64,6,46,0.82500,1.17500
65,5,46,0.82500,1.22500
66,4,46,0.82500,1.27500
67,4,45,0.77500,1.27500
68,4,44,0.72500,1.27500
69,3,43,0.67500,1.32500
70,2,42,0.62500,1.37500
71,1,41,0.57500,1.42500
72,1,40,0.52500,1.42500
73,1,39,0.47500,1.42500
74,1,38,0.42500,1.42500
75,1,37,0.37500,1.42500
76,1,36,0.32500,1.42500
77,1,35,0.27500,1.42500
78,1,34,0.22500,1.42500
79,1,33,0.17500,1.42500
80,1,32,0.12500,1.42500
81,1,31,0.07500,1.42500
82,2,30,0.02500,1.37500
83,3,29,-0.02500,1.32500
84,4,28,-0.07500,1.27500
85,5,27,-0.12500,1.22500
86,6,26,-0.17500,1.17500
87,7,25,-0.22500,1.12500
88,8,24,-0.27500,1.07500
89,9,23,-0.32500,1.02500
90,10,22,-0.37500,0.97500
91,11,21,-0.42500,0.92500
92,12,20,-0.47500,0.87500
93,13,19,-0.52500,0.82500
94,14,18,-0.57500,0.77500
95,15,17,-0.62500,0.72500
96,16,16,-0.67500,0.67500
97,17,15,-0.72500,0.62500
98,18,14,-0.77500,0.57500
99,19,13,-0.82500,0.52500
100,20,12,-0.87500,0.47500
101,21,11,-0.92500,0.42500
102,21,10,-0.97500,0.42500
103,21,9,-1.02500,0.42500
104,21,8,-1.07500,0.42500
105,20,7,-1.12500,0.47500
106,19,6,-1.17500,0.52500
107,18,5,-1.22500,0.57500
108,17,4,-1.27500,0.62500
109,16,3,-1.32500,0.67500
110,15,2,-1.37500,0.72500
111,14,1,-1.42500,0.77500
112,13,1,-1.42500,0.82500
113,12,1,-1.42500,0.87500
114,11,1,-1.42500,0.92500
115,10,1,-1.42500,0.97500
116,9,2,-1.37500,1.02500
117,8,2,-1.37500,1.07500
118,7,3,-1.32500,1.12500
119,6,3,-1.32500,1.17500
120,5,3,-1.32500,1.22500
121,4,4,-1.27500,1.27500
