step,sim_time_s,x_actual,y_actual,phi_k,nav_state,current_wp_index,d_est,obstacle_detected,left_speed,right_speed
0,0.0000,-0.00270,-1.43600,-1.58380,0,0,0.01704,0,-6.2800,6.2800
1,0.0320,-0.00270,-1.43606,-1.42783,0,0,0.01740,0,-6.2800,6.2800
2,0.0640,-0.00270,-1.43606,-1.26938,0,0,0.01722,0,-6.2800,6.2800
3,0.0960,-0.00270,-1.43606,-1.11588,0,0,0.01656,0,-6.2800,6.2800
4,0.1280,-0.00270,-1.43606,-0.95743,0,0,0.01642,0,-6.2800,6.2800
5,0.1600,-0.00270,-1.43606,-0.79898,0,0,0.01706,0,-6.2800,6.2800
6,0.1920,-0.00270,-1.43606,-0.64053,0,0,0.01652,0,-6.2800,6.2800
7,0.2240,-0.00270,-1.43606,-0.48208,0,0,0.01714,0,-6.1908,6.1908
8,0.2560,-0.00270,-1.43606,-0.32858,0,0,0.01760,0,-5.6068,5.6068
9,0.2880,-0.00270,-1.43606,-0.18499,0,0,0.01679,0,-5.0604,5.0604
10,0.3200,-0.00270,-1.43606,-0.05625,0,0,0.01704,0,-4.5706,4.5706
11,0.3520,-0.00270,-1.43606,0.05764,0,0,0.01737,0,-4.1373,4.1373
12,0.3840,-0.00270,-1.43606,0.16162,0,0,0.01731,0,-3.7416,3.7416
13,0.4160,-0.00270,-1.43606,0.25570,0,0,0.01709,0,-3.3837,3.3837
14,0.4480,-0.00270,-1.43606,0.33987,0,0,0.01772,0,-3.0634,3.0634
15,0.4800,-0.00270,-1.43606,0.41910,0,0,0.01788,0,-2.7619,2.7619
16,0.5120,-0.00270,-1.43606,0.48842,0,0,0.01773,0,-2.4982,2.4982
17,0.5440,-0.00270,-1.43606,0.54784,0,0,0.01748,0,-2.2721,2.2721
18,0.5760,-0.00270,-1.43606,0.60726,0,0,0.01737,0,-2.0460,2.0460
19,0.6080,-0.00270,-1.43606,0.65677,0,0,0.01740,0,-1.8576,1.8576
20,0.6400,-0.00270,-1.43606,0.70629,0,0,0.01783,0,-1.6692,1.6692
21,0.6720,-0.00270,-1.43606,0.74590,0,0,0.01717,0,-1.5185,1.5185
22,0.7040,-0.00270,-1.43606,0.78551,0,0,0.01708,0,-1.3678,1.3678
23,0.7360,-0.00270,-1.43606,0.82017,0,0,0.01672,0,-1.2359,1.2359
24,0.7680,-0.00270,-1.43606,0.84988,0,0,0.01679,0,-1.1229,1.1229
25,0.8000,-0.00270,-1.43606,0.87959,0,0,0.01688,0,-1.0098,1.0098
26,0.8320,-0.00270,-1.43606,0.90435,0,0,0.01748,0,-0.9156,0.9156
