waypoint_index,grid_row,grid_col,x_planned,y_planned
0,37,2,-0.87000,-0.87000
1,36,3,-0.82500,-0.82500
2,35,4,-0.77500,-0.77500
3,34,5,-0.72500,-0.72500
4,33,6,-0.67500,-0.67500
5,32,7,-0.62500,-0.62500
6,31,8,-0.57500,-0.57500
7,30,9,-0.52500,-0.52500
8,29,10,-0.47500,-0.47500
9,28,11,-0.42500,-0.42500
10,28,12,-0.37500,-0.42500
11,28,13,-0.32500,-0.42500
12,28,14,-0.27500,-0.42500
13,28,15,-0.22500,-0.42500
14,28,16,-0.17500,-0.42500
15,27,16,-0.17500,-0.37500
16,26,16,-0.17500,-0.32500
17,25,16,-0.17500,-0.27500
18,24,16,-0.17500,-0.22500
19,23,16,-0.17500,-0.17500
20,22,16,-0.17500,-0.12500
21,21,16,-0.17500,-0.07500
22,20,16,-0.17500,-0.02500
23,19,16,-0.17500,0.02500
24,18,16,-0.17500,0.07500
25,17,16,-0.17500,0.12500
26,16,16,-0.17500,0.17500
27,15,16,-0.17500,0.22500
28,14,16,-0.17500,0.27500
29,13,16,-0.17500,0.32500
30,12,16,-0.17500,0.37500
31,11,16,-0.17500,0.42500
32,10,16,-0.17500,0.47500
33,9,16,-0.17500,0.52500
34,8,16,-0.17500,0.57500
35,7,17,-0.12500,0.62500
36,6,17,-0.12500,0.67500
37,5,18,-0.07500,0.72500
38,4,18,-0.07500,0.77500
39,3,19,-0.02500,0.82500
40,3,20,0.02500,0.82500
41,3,21,0.07500,0.82500
42,3,22,0.12500,0.82500
43,3,23,0.17500,0.82500
44,3,24,0.22500,0.82500
45,3,25,0.27500,0.82500
46,3,26,0.32500,0.82500
47,3,27,0.37500,0.82500
48,3,28,0.42500,0.82500
49,3,29,0.47500,0.82500
50,3,30,0.52500,0.82500
51,3,31,0.57500,0.82500
52,3,32,0.62500,0.82500
53,3,33,0.67500,0.82500
54,3,34,0.72500,0.82500
55,3,35,0.77500,0.82500
56,3,36,0.82500,0.82500
