waypoint_index,grid_row,grid_col,x_planned,y_planned
0,18,11,0.06110,-0.40000
1,17,12,0.12500,-0.37500
2,17,13,0.17500,-0.37500
3,16,14,0.22500,-0.32500
4,15,14,0.22500,-0.27500
5,14,14,0.22500,-0.22500
6,13,14,0.22500,-0.17500
7,12,14,0.22500,-0.12500
8,11,14,0.22500,-0.07500
9,10,14,0.22500,-0.02500
10,9,14,0.22500,0.02500
11,8,13,0.17500,0.07500
12,7,12,0.12500,0.12500
13,6,11,0.07500,0.17500
14,5,10,0.02500,0.22500
15,4,9,-0.02500,0.27500
16,3,8,-0.07500,0.32500
17,2,8,-0.07500,0.37500
18,2,7,-0.12500,0.37500
19,2,6,-0.17500,0.37500
20,2,5,-0.22500,0.37500
21,2,4,-0.27500,0.37500
22,2,3,-0.32500,0.37500
23,1,2,-0.37500,0.42500
24,1,1,-0.42500,0.42500
