step,sim_time_s,x_actual,y_actual,phi_k,nav_state,current_wp_index,d_est,obstacle_detected,left_speed,right_speed
0,0.0000,0.06110,-0.40000,1.56380,0,0,0.01704,0,4.5311,-4.5311
1,0.0320,0.06110,-0.39994,1.45239,0,0,0.01740,0,4.1105,-4.1105
2,0.0640,0.06110,-0.39994,1.34841,0,0,0.01722,0,3.7148,-3.7148
3,0.0960,0.06110,-0.39994,1.25433,0,0,0.01656,0,3.3569,-3.3569
4,0.1280,0.06110,-0.39994,1.17015,0,0,0.01642,0,3.0366,-3.0366
5,0.1600,0.06110,-0.39994,1.09588,0,0,0.01706,0,2.7540,-2.7540
6,0.1920,0.06110,-0.39994,1.02656,0,0,0.01652,0,2.4902,-2.4902
7,0.2240,0.06110,-0.39994,0.96219,0,0,0.01714,0,2.2453,-2.2453
8,0.2560,0.06110,-0.39994,0.90772,0,0,0.01760,0,2.0381,-2.0381
9,0.2880,0.06110,-0.39994,0.85325,0,0,0.01679,0,1.8308,-1.8308
10,0.3200,0.06110,-0.39994,0.80869,0,0,0.01704,0,1.6613,-1.6613
11,0.3520,0.06110,-0.39994,0.76413,0,0,0.01737,0,1.4917,-1.4917
12,0.3840,0.06110,-0.39994,0.72947,0,0,0.01731,0,1.3598,-1.3598
13,0.4160,0.06110,-0.39994,0.69481,0,0,0.01709,0,1.2279,-1.2279
14,0.4480,0.06110,-0.39994,0.66510,0,0,0.01772,0,1.1149,-1.1149
15,0.4800,0.06110,-0.39994,0.63539,0,0,0.01788,0,1.0019,-1.0019
16,0.5120,0.06110,-0.39994,0.61063,0,0,0.01773,0,0.9077,-0.9077
17,0.5440,0.06110,-0.39994,0.58587,0,0,0.01748,0,0.8135,-0.8135
18,0.5760,0.06110,-0.39994,0.56606,0,0,0.01737,0,0.7381,-0.7381
19,0.6080,0.06110,-0.39994,0.54626,0,0,0.01740,0,0.6627,-0.6627
20,0.6400,0.06110,-0.39994,0.53140,0,0,0.01783,0,0.6062,-0.6062
21,0.6720,0.06110,-0.39994,0.51655,0,0,0.01717,0,3.2933,2.5604
22,0.7040,0.06279,-0.39899,0.50665,0,0,0.01708,0,3.2784,2.5753
23,0.7360,0.06448,-0.39806,0.49674,0,0,0.01672,0,3.2633,2.5903
24,0.7680,0.06613,-0.39718,0.48932,0,0,0.01679,0,3.2542,2.5995
25,0.8000,0.06783,-0.39628,0.47941,0,0,0.01688,0,3.2390,2.6147
26,0.8320,0.06955,-0.39539,0.47446,0,0,0.01748,0,3.2364,2.6172
27,0.8640,0.07127,-0.39452,0.46456,0,0,0.01633,0,3.2213,2.6323
28,0.8960,0.07294,-0.39369,0.45713,0,0,0.01645,0,3.2121,2.6416
29,0.9280,0.07474,-0.39281,0.44970,0,0,0.01671,0,3.2035,2.6501
30,0.9600,0.07642,-0.39201,0.44228,0,0,0.01704,0,3.1944,2.6593
31,0.9920,0.07817,-0.39119,0.43732,0,0,0.01748,0,3.1920,2.6617
32,1.0240,0.07986,-0.39040,0.42990,0,0,0.01749,0,3.1831,2.6705
33,1.0560,0.08168,-0.38958,0.42247,0,0,0.01749,0,3.1751,2.6786
34,1.0880,0.08344,-0.38879,0.41752,0,0,0.01738,0,3.1731,2.6805
35,1.1200,0.08515,-0.38804,0.41009,0,0,0.01700,0,3.1648,2.6888
36,1.1520,0.08693,-0.38727,0.40514,0,0,0.01698,0,3.1634,2.6902
37,1.1840,0.08864,-0.38654,0.39771,0,0,0.01678,0,3.1557,2.6979
38,1.2160,0.09037,-0.38583,0.39029,0,0,0.01689,0,3.1481,2.7055
39,1.2480,0.09216,-0.38510,0.38533,0,0,0.01763,0,3.1477,2.7060
40,1.2800,0.09395,-0.38438,0.38038,0,0,0.01725,0,3.1479,2.7058
41,1.3120,0.09574,-0.38366,0.37543,0,0,0.01710,0,3.1489,2.7048
42,1.3440,0.09754,-0.38296,0.37048,0,0,0.01683,0,3.1509,2.7028
43,1.3760,0.09928,-0.38229,0.36305,0,0,0.01724,0,3.1470,2.7067
44,1.4080,0.10109,-0.38161,0.35810,0,1,0.01675,0,3.1511,2.7026
45,1.4400,0.10290,-0.38094,0.35315,0,1,0.01716,0,1.0311,-1.0311
46,1.4720,0.10296,-0.38092,0.32592,0,1,0.01748,0,0.9283,-0.9283
47,1.5040,0.10290,-0.38094,0.30363,0,1,0.01770,0,0.8427,-0.8427
48,1.5360,0.10296,-0.38092,0.28135,0,1,0.01706,0,0.7587,-0.7587
49,1.5680,0.10296,-0.38092,0.26155,0,1,0.01768,0,0.6833,-0.6833
50,1.6000,0.10290,-0.38093,0.24421,0,1,0.01754,0,0.6168,-0.6168
51,1.6320,0.10290,-0.38093,0.22936,0,1,0.01698,0,3.3003,2.5533
52,1.6640,0.10478,-0.38050,0.21946,0,1,0.01697,0,3.2851,2.5686
53,1.6960,0.10667,-0.38009,0.20955,0,1,0.01804,0,3.2697,2.5840
54,1.7280,0.10850,-0.37971,0.20213,0,1,0.01843,0,3.2602,2.5935
55,1.7600,0.11045,-0.37932,0.19470,0,1,0.01793,0,3.2513,2.6024
